termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
15,Savings,'GT Bank',Self-Employed,2,2,0,1,2,2,2,0
30,Savings,'Sterling Bank',Permanent,1,1,1,1,1,2,3,0
30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,1,2,3,0
30,Current,'Fidelity Bank',Permanent,1,1,0,1,1,2,3,0
30,Savings,'GT Bank',Self-Employed,2,1,0,1,1,2,2,0
15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,3,0
30,Savings,'GT Bank',Permanent,1,1,1,1,2,2,2,0
15,Savings,EcoBank,Permanent,2,1,0,1,1,2,2,0
30,Savings,'First Bank',Permanent,1,1,0,1,1,2,3,0
30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,3,0
30,Savings,UBA,Permanent,3,2,0,2,2,3,3,0
30,Other,FCMB,Self-Employed,2,1,0,2,2,2,3,0
30,Savings,'GT Bank',Retired,1,1,0,1,2,2,2,0
30,Savings,'GT Bank',Permanent,1,1,1,1,2,2,3,0
15,Savings,'First Bank',Self-Employed,1,1,0,1,1,2,2,0
15,Savings,'GT Bank',Student,1,1,0,1,1,2,3,0
30,Other,'Zenith Bank',Permanent,1,1,0,1,1,2,3,0
60,Savings,'First Bank',Permanent,2,1,0,2,2,2,2,0
