termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
30,Savings,'GT Bank',Student,1,1,0,1,2,2,2,0
30,Current,'Access Bank',Self-Employed,1,1,1,1,2,2,2,0
30,Savings,'Keystone Bank',Permanent,3,2,0,2,2,3,3,0
60,Savings,'First Bank',Permanent,3,2,0,2,1,3,3,0
30,Savings,'First Bank',Permanent,2,1,1,1,1,2,3,0
15,Savings,'Access Bank',Permanent,2,1,0,1,2,2,3,0
15,Savings,'First Bank',Unemployed,2,1,0,1,1,2,3,0
15,Savings,'GT Bank',Permanent,1,1,0,1,1,2,2,0
30,Savings,'Unity Bank',Permanent,2,1,1,1,1,2,3,0
30,Savings,'Zenith Bank',Unemployed,2,2,0,2,1,3,3,0
30,Savings,'Access Bank',Permanent,2,1,1,2,1,2,3,0
30,Savings,'GT Bank',?,2,1,0,2,1,2,3,0
30,Other,'Sterling Bank',Permanent,1,1,0,1,1,2,2,0
30,Savings,'Sterling Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'First Bank',Self-Employed,3,2,0,2,2,3,3,0
30,Other,'First Bank',Permanent,3,2,0,2,2,3,3,0
30,Other,'GT Bank',Self-Employed,2,2,0,2,2,2,3,0
30,Savings,'Zenith Bank',Permanent,1,1,0,1,1,2,2,0
15,Savings,'Skye Bank',Permanent,1,1,1,1,1,2,2,0
30,Other,'GT Bank',Self-Employed,2,1,0,1,2,2,3,0
30,Savings,'Fidelity Bank',Permanent,1,1,1,1,1,2,2,0
15,Savings,'Access Bank',Unemployed,1,1,1,1,1,2,3,0
15,Savings,'Access Bank',Permanent,1,2,0,1,2,1,2,0
30,Other,'First Bank',Self-Employed,1,2,0,1,2,2,2,0
15,Savings,'Diamond Bank',Permanent,2,1,1,1,2,2,3,0
30,Savings,'First Bank',Student,1,1,0,1,1,2,3,0
60,Other,'GT Bank',Permanent,2,1,0,2,1,2,3,0
30,Savings,'GT Bank',Retired,1,1,0,1,3,2,3,0
15,Savings,'GT Bank',Self-Employed,1,1,0,1,1,2,3,0
30,Savings,'First Bank',Permanent,2,2,0,2,2,2,2,0
30,Savings,'Skye Bank',Self-Employed,2,1,0,2,2,2,3,0
15,Savings,'GT Bank',Permanent,2,1,0,1,2,2,3,0
30,Other,UBA,Permanent,2,2,0,1,2,2,3,0
30,Savings,EcoBank,Permanent,2,2,0,2,1,2,3,0
30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,3,0
30,Savings,'Access Bank',Permanent,1,1,1,1,1,2,2,0
30,Savings,'Access Bank',Permanent,1,1,0,1,3,2,3,0
15,Savings,'First Bank',Permanent,1,1,1,1,2,2,3,0
15,Savings,'GT Bank',Permanent,2,1,0,1,2,2,2,0
30,Other,'Diamond Bank',Self-Employed,1,1,0,1,2,2,2,0
30,Savings,'Skye Bank',Permanent,1,1,0,1,1,2,3,0
15,Savings,'GT Bank',Permanent,1,1,0,1,2,2,3,0
30,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,2,0
60,Savings,'Skye Bank',Permanent,2,1,0,2,2,2,3,0
30,Savings,'Stanbic IBTC',Permanent,1,1,1,1,1,2,3,0
30,Savings,'GT Bank',Permanent,2,1,0,1,2,2,2,0
15,Savings,EcoBank,Self-Employed,1,1,0,1,2,2,2,0
30,Savings,'Access Bank',Permanent,2,1,0,1,2,2,3,0
30,Savings,'Access Bank',Unemployed,2,1,0,1,1,2,3,0
30,Savings,'Zenith Bank',Permanent,1,1,1,1,1,2,2,0
30,Savings,'GT Bank',Permanent,2,1,1,1,1,2,3,0
15,Savings,'Access Bank',Permanent,2,1,0,1,1,2,3,0
30,Other,'Access Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'Diamond Bank',Self-Employed,2,1,0,2,1,2,3,0
15,Savings,EcoBank,Permanent,1,1,0,1,1,2,2,0
30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,2,0
60,Other,'First Bank',Self-Employed,2,1,0,2,1,3,3,0
60,Other,'GT Bank',Self-Employed,2,1,0,2,1,2,3,0
15,Savings,'GT Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,2,0
60,Savings,'GT Bank',Permanent,3,2,0,2,1,3,3,0
30,Savings,'Union Bank',Permanent,1,1,1,1,2,2,2,0
15,Other,EcoBank,Permanent,2,2,0,1,1,2,3,0
30,Savings,'First Bank',Student,2,1,0,2,2,2,2,0
90,Other,'Fidelity Bank',Self-Employed,4,2,0,3,1,3,3,0
30,Other,'Zenith Bank',Permanent,1,1,0,1,2,2,2,0
60,Other,'GT Bank',Self-Employed,3,1,0,2,2,3,2,0
15,Other,'Access Bank',Permanent,1,1,0,1,1,2,3,0
15,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,3,0
30,Other,'Stanbic IBTC',Self-Employed,4,2,0,3,1,3,3,0
15,Savings,'Access Bank',Unemployed,1,1,0,1,1,2,3,0
30,Savings,'Sterling Bank',Permanent,2,1,1,2,2,2,3,0
30,Savings,'First Bank',Permanent,2,1,0,1,2,2,2,0
30,Savings,'GT Bank',Permanent,2,1,0,1,1,2,2,0
30,Current,'Sterling Bank',Permanent,2,1,0,1,3,2,3,0
30,Savings,'GT Bank',Permanent,2,1,0,1,1,2,3,0
30,Savings,'GT Bank',Permanent,1,1,0,1,1,2,3,0
30,Savings,'Diamond Bank',Student,1,1,0,1,2,2,2,0
15,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,0
15,Savings,'Access Bank',Permanent,1,1,1,1,3,2,3,0
30,Savings,'GT Bank',Permanent,2,1,0,2,1,2,3,0
30,Savings,'Zenith Bank',Permanent,2,2,0,2,1,3,3,0
30,Savings,'First Bank',Unemployed,1,1,0,1,2,2,3,0
60,Savings,'Access Bank',Permanent,2,1,0,2,1,2,3,0
15,Savings,'GT Bank',Permanent,1,1,0,1,3,2,2,0
30,Savings,'First Bank',Permanent,1,1,1,1,1,2,3,0
30,Savings,'Access Bank',Permanent,2,1,0,1,2,2,2,0
15,Savings,'Skye Bank',Student,1,1,0,1,2,2,3,0
30,Savings,'Diamond Bank',Permanent,1,1,0,1,2,2,2,0
