termdays,bank_account_type,employment_status_clients,repaymentrank,avgloanamtrank,rankloanamt,rankloannum,isreffered,agerank,good_bad_flag
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
60,Savings,Student,2,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,3,2,1,0,2,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
60,Other,Permanent,3,2,2,1,0,1,Good
30,Savings,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Other,Permanent,3,3,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Other,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,2,1,1,0,1,Good
60,Savings,Student,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
90,Other,Permanent,3,4,3,1,0,1,Good
30,Other,Self-Employed,3,3,3,2,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
60,Savings,Self-Employed,3,2,2,1,0,1,Good
15,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Student,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,3,2,1,0,1,Good
15,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Other,Self-Employed,3,2,2,1,0,2,Good
30,Savings,Self-Employed,3,2,1,1,0,1,Good
60,Savings,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Other,Permanent,2,1,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,2,2,1,1,0,1,Good
60,Other,Self-Employed,3,4,3,1,0,1,Good
15,Savings,Permanent,2,2,1,1,0,1,Good
60,Savings,Permanent,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Current,Permanent,3,2,1,1,0,1,Good
60,Savings,Permanent,3,2,2,1,0,1,Good
30,Other,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
30,Current,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
60,Other,Self-Employed,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Self-Employed,2,2,1,1,0,1,Good
30,Other,Self-Employed,3,3,3,2,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Current,Permanent,2,2,1,1,0,1,Good
30,Savings,Self-Employed,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
15,Other,Permanent,2,2,1,1,0,1,Good
30,Other,Self-Employed,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,1,2,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Other,Self-Employed,3,1,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,2,1,1,1,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,2,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
60,Other,Student,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,2,2,2,1,0,2,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,2,2,1,0,1,Good
30,Other,Permanent,2,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,2,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Self-Employed,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Student,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Current,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,2,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Other,Student,3,3,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,3,2,1,0,2,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
90,Other,Student,3,4,3,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Other,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,2,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Self-Employed,3,2,1,1,0,1,Good
30,Savings,Self-Employed,3,2,2,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,2,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Self-Employed,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Student,3,3,2,1,0,1,Bad
60,Other,Permanent,3,2,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Self-Employed,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Self-Employed,2,2,2,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Other,Permanent,3,2,2,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
60,Savings,Student,3,3,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Other,Permanent,3,2,2,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Self-Employed,2,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Student,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Permanent,2,2,1,1,0,1,Bad
30,Savings,Self-Employed,2,2,1,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Self-Employed,3,2,1,1,0,1,Bad
30,Other,Self-Employed,3,4,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Permanent,2,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Student,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
30,Other,Permanent,3,3,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Self-Employed,3,2,1,1,0,1,Bad
15,Other,Self-Employed,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Savings,Retired,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Savings,Unemployed,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Student,3,2,2,1,0,1,Bad
30,Other,Self-Employed,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Other,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,2,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
60,Savings,Permanent,3,1,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
60,Savings,Permanent,3,3,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Self-Employed,3,2,1,1,0,1,Bad
15,Savings,Self-Employed,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
60,Savings,Self-Employed,3,3,2,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,2,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Self-Employed,3,2,2,1,0,1,Bad
60,Other,Permanent,3,3,2,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
30,Other,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
60,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Student,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Other,Permanent,3,3,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Student,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Student,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Student,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,1,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
60,Savings,Permanent,3,3,2,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Self-Employed,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Permanent,2,3,1,1,0,1,Bad
60,Other,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
90,Other,Permanent,3,3,3,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Other,Permanent,3,2,2,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,2,Bad
30,Other,Self-Employed,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Unemployed,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Self-Employed,2,2,1,1,0,1,Bad
30,Current,Permanent,3,2,1,1,0,2,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
60,Savings,Student,3,4,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,1,1,Bad
60,Other,Permanent,3,3,2,1,0,1,Bad
30,Savings,Self-Employed,3,2,1,1,0,1,Bad
15,Savings,Permanent,3,2,1,1,0,1,Bad
30,Other,Permanent,3,2,1,1,0,1,Bad
15,Savings,Self-Employed,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,1,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
15,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Student,3,2,1,1,1,2,Bad
30,Other,Self-Employed,3,2,2,1,0,1,Bad
30,Savings,Permanent,2,2,1,1,0,1,Bad
30,Savings,Permanent,3,2,1,1,0,1,Bad
