termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
60,Savings,'Access Bank',Permanent,2,1,0,2,1,2,3,Bad
15,Other,'GT Bank',Permanent,1,1,0,1,1,2,2,Bad
30,Savings,FCMB,Permanent,2,1,1,1,2,2,3,Bad
15,Savings,'GT Bank',Permanent,2,1,0,1,1,2,2,Bad
30,Savings,'GT Bank',Permanent,1,1,1,1,2,2,2,Bad
30,Savings,'Skye Bank',Permanent,2,1,1,1,2,2,3,Bad
90,Other,'Diamond Bank',Permanent,4,2,0,3,2,3,3,Bad
15,Savings,'Skye Bank',Permanent,1,1,1,1,1,2,2,Bad
30,Savings,'Fidelity Bank',Student,1,1,0,1,1,2,2,Bad
30,Savings,'Heritage Bank',Permanent,1,1,0,1,1,2,2,Bad
30,Savings,'First Bank',Permanent,1,1,0,1,3,2,3,Bad
30,Savings,FCMB,Permanent,1,1,1,1,2,2,3,Bad
30,Savings,'GT Bank',Student,2,1,1,1,3,2,3,Bad
60,Other,'GT Bank',Self-Employed,3,2,0,2,1,3,3,Bad
30,Savings,'Diamond Bank',Self-Employed,2,1,0,2,1,2,3,Bad
15,Savings,'GT Bank',Permanent,2,2,0,1,1,2,3,Bad
30,Other,FCMB,Permanent,2,1,0,1,1,2,2,Bad
